WeatherPy_Database,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
267,Egersund,NO,58.4513,5.9997,31.93,54,100,9.64,overcast clouds
268,Ziway,ET,7.9333,38.7167,66.36,36,28,13.56,scattered clouds
269,Khandbari,NP,27.3747,87.2039,57.65,70,0,3.69,clear sky
270,Souillac,MU,-20.5167,57.5167,75.58,73,40,8.05,scattered clouds
271,Tasiilaq,GL,65.6145,-37.6368,37.56,85,100,14.47,moderate rain
272,Yeppoon,AU,-23.1333,150.7333,76.78,93,53,5.86,broken clouds
273,Ancud,CL,-41.8697,-73.8203,56.91,51,1,7.45,clear sky
274,Port Hardy,CA,50.6996,-127.4199,41.18,87,100,3.44,light rain
275,Harper,LR,4.375,-7.7169,77.31,86,78,4.92,broken clouds
276,Caravelas,BR,-17.7125,-39.2481,74.25,89,100,4.14,light rain
277,Saldanha,ZA,-33.0117,17.9442,62.65,82,100,22.79,overcast clouds
278,Renukut,IN,24.2,83.0333,57.4,53,95,2.89,overcast clouds
279,Abnub,EG,27.2696,31.1511,70.39,31,18,7.02,few clouds
280,Privolzhskiy,RU,51.4,46.0333,35.31,79,100,7.34,overcast clouds
281,Zabid,YE,14.1951,43.3152,79.86,68,14,3.65,light rain
282,Sawtell,AU,-30.3833,153.1,62.62,77,100,0.0,overcast clouds
283,Faanui,PF,-16.4833,-151.75,78.26,76,96,18.37,light rain
284,Bani,DO,18.2833,-70.3333,87.24,58,22,14.56,few clouds
285,Gizo,SB,-8.103,156.8419,82.09,70,44,10.65,scattered clouds
286,Severo-Kurilsk,RU,50.6789,156.125,32.22,71,60,4.52,broken clouds
287,Mamakan,RU,57.8161,114.0028,-16.91,99,76,1.3,broken clouds
288,Atar,MR,20.5169,-13.0499,78.08,17,0,10.18,clear sky
289,Carlos Chagas,BR,-17.7031,-40.7664,74.79,85,100,7.92,overcast clouds
290,Adrar,MR,20.5022,-10.0711,75.38,12,0,8.12,clear sky
291,Batagay,RU,67.6333,134.6333,-14.55,99,99,1.68,overcast clouds
292,Saskylakh,RU,71.9167,114.0833,-20.18,100,94,1.7,overcast clouds
293,Kodiak,US,57.79,-152.4072,38.71,93,100,4.61,overcast clouds
294,Tual,ID,-5.6667,132.75,84.29,69,100,6.8,overcast clouds
295,Lerdo,MX,25.5333,-103.5333,55.27,54,75,0.0,broken clouds
296,Hofn,IS,64.2539,-15.2082,44.31,83,95,5.32,overcast clouds
297,Mahajanga,MG,-15.7167,46.3167,80.62,83,20,10.36,few clouds
298,Katobu,ID,-4.9408,122.5276,75.83,91,100,1.45,moderate rain
299,Westport,US,41.1415,-73.3579,38.26,32,0,19.57,clear sky
300,Christchurch,NZ,-43.5333,172.6333,60.91,92,100,5.75,overcast clouds
301,Kavieng,PG,-2.5744,150.7967,80.98,69,61,11.99,broken clouds
302,Walvis Bay,NA,-22.9575,14.5053,65.35,68,100,3.44,overcast clouds
303,Bekobod,UZ,40.2208,69.2697,40.69,71,14,9.93,few clouds
304,Arica,CL,-18.475,-70.3042,80.15,56,0,14.97,clear sky
305,Murakami,JP,38.2333,139.4833,52.23,86,100,3.71,overcast clouds
306,Labuhan,ID,-6.8844,112.2051,79.9,82,99,7.11,moderate rain
307,Poum,NC,-20.2333,164.0167,77.38,82,27,7.85,scattered clouds
308,Yakeshi,CN,49.2833,120.7333,-7.08,100,64,4.27,broken clouds
309,Mercedes,AR,-34.6515,-59.4307,77.65,67,100,13.33,light rain
310,Porto Novo,BJ,6.4965,2.6036,82.22,81,100,8.95,overcast clouds
311,Mangaratiba,BR,-22.9597,-44.0406,79.66,75,40,4.05,scattered clouds
312,Port Blair,IN,11.6667,92.75,80.64,78,40,2.3,mist
313,Barroquinha,BR,-3.0189,-41.1361,86.11,58,30,12.95,scattered clouds
314,Thompson,CA,55.7435,-97.8558,21.36,93,100,9.22,light snow
315,Longyearbyen,SJ,78.2186,15.6401,35.44,80,75,11.5,broken clouds
316,Laredo,US,27.5064,-99.5075,48.49,66,100,6.91,overcast clouds
317,Vao,NC,-22.6667,167.4833,73.9,78,42,9.24,scattered clouds
318,Shubarkuduk,KZ,49.1447,56.4872,34.09,100,100,4.76,overcast clouds
319,Okha,RU,53.5739,142.9478,27.32,83,89,12.3,overcast clouds
320,Saint Anthony,US,45.0205,-93.218,30.76,59,0,12.66,clear sky
321,Margherita,IN,27.2833,95.6833,59.29,67,93,2.53,overcast clouds
322,Manica,FR,49.0,-1.1667,49.44,84,100,9.55,overcast clouds
323,Porto De Moz,BR,-1.7483,-52.2383,94.26,34,75,3.87,broken clouds
324,Jambi,ID,-1.6,103.6167,75.31,95,100,0.11,overcast clouds
325,Makakilo City,US,21.3469,-158.0858,77.32,68,0,11.5,clear sky
326,Vojens,DK,55.2464,9.306,31.57,93,0,1.14,clear sky
327,Vokhma,RU,58.9303,46.7586,13.33,83,4,0.87,clear sky
328,La Ronge,CA,55.1001,-105.2842,23.25,54,75,11.5,broken clouds
329,Kahului,US,20.8947,-156.47,77.85,76,20,9.22,few clouds
330,Kyren,RU,51.6828,102.1408,12.67,80,100,2.1,overcast clouds
331,Klaksvik,FO,62.2266,-6.589,47.32,89,100,32.19,light rain
332,Vila Franca Do Campo,PT,37.7167,-25.4333,67.19,90,98,13.35,overcast clouds
333,Otradnoye,RU,59.7775,30.8181,24.85,97,83,4.07,broken clouds
334,Amqui,CA,48.4638,-67.4313,26.4,96,100,6.55,snow
335,Jiuquan,CN,39.7432,98.5174,32.99,29,100,1.23,overcast clouds
336,Karratha,AU,-20.7377,116.8463,80.55,35,100,1.57,overcast clouds
337,Palmer,US,42.1584,-72.3287,36.77,30,40,27.63,scattered clouds
338,Ampanihy,MG,-24.7,44.75,71.33,83,100,11.32,light rain
339,Tukrah,LY,32.5341,20.5791,69.87,49,99,11.74,overcast clouds
340,Mount Isa,AU,-20.7333,139.5,78.57,24,100,8.05,light rain
341,Bambous Virieux,MU,-20.3428,57.7575,75.45,73,40,8.05,scattered clouds
